iter	Logloss
0	0.6704506221
1	0.6562632697
2	0.6413216397
3	0.6286643851
4	0.6190353974
5	0.6069993124
6	0.5975368423
7	0.5919423334
8	0.5852456392
9	0.5824386377
10	0.5774292603
11	0.5729648336
12	0.5690147586
13	0.5636093163
14	0.5590661262
15	0.5556270759
16	0.5523293187
17	0.5502117043
18	0.5455128784
19	0.5429960505
20	0.5379326942
21	0.5358523121
22	0.5330682691
23	0.5309290191
24	0.52900464
25	0.5260591652
26	0.5240194031
27	0.5219161962
28	0.519092814
29	0.5181989125
30	0.516586231
31	0.5158477488
32	0.513915203
33	0.5123727555
34	0.5107145463
35	0.5077761723
36	0.5063026758
37	0.5048964222
38	0.5026424189
39	0.5019532362
40	0.5001879168
41	0.4990028534
42	0.4976848366
43	0.4966440211
44	0.4955351561
45	0.4949393354
46	0.4940978584
47	0.4926643338
48	0.491812242
49	0.4899100789
50	0.485551426
51	0.4855229827
52	0.4837878845
53	0.4836785705
54	0.4826349472
55	0.4816688764
56	0.4798547356
57	0.47818045
58	0.476841341
59	0.4757696361
60	0.475383851
61	0.4740321733
62	0.4733881624
63	0.4716961525
64	0.4702875929
65	0.469576772
66	0.4694230971
67	0.4682237522
68	0.4677409828
69	0.4671513995
70	0.466794475
71	0.4656924225
72	0.4641799173
73	0.4631253551
74	0.462047927
75	0.4615409751
76	0.4605081627
77	0.4596652996
78	0.4590768575
79	0.4583163304
80	0.4577257617
81	0.4567016123
82	0.4562668223
83	0.4557562752
84	0.4533561213
85	0.4532676603
86	0.452690365
87	0.4510908737
88	0.4500868055
89	0.4482065696
90	0.4471859722
91	0.4454344503
92	0.443329892
93	0.4428637503
94	0.4424317708
95	0.4407168699
96	0.4393893143
97	0.4382973012
98	0.4363431692
99	0.4358748898
100	0.4340185305
101	0.4328146721
102	0.4313319632
103	0.4311378215
104	0.4294845861
105	0.4288028567
106	0.4278526329
107	0.4274723364
108	0.4271294656
109	0.4258702516
110	0.425169958
111	0.4242127709
112	0.423703579
113	0.4230171073
114	0.422021001
115	0.4214702253
116	0.4206260846
117	0.4202156583
118	0.4183117889
119	0.4170813022
120	0.4165212126
121	0.4161190747
122	0.4148455503
123	0.4136683853
124	0.4123843244
125	0.411566821
126	0.4104756615
127	0.4100988617
128	0.4099443602
129	0.4098093068
130	0.4092561801
131	0.4090454686
132	0.4081675028
133	0.4074275123
134	0.4065689357
135	0.4063077811
136	0.4050998278
137	0.4045084101
138	0.4032348208
139	0.402625357
140	0.4022823431
141	0.4013883261
142	0.3998945002
143	0.3990822575
144	0.3985166851
145	0.3982107339
146	0.397354126
147	0.3970505252
148	0.396071513
149	0.3954646634
150	0.3950028671
151	0.3944837381
152	0.3935154848
153	0.3931225768
154	0.3928517698
155	0.3912948799
156	0.3909494867
157	0.3902902307
158	0.3896601667
159	0.3889190905
160	0.3883445217
161	0.3880339507
162	0.3874979514
163	0.3869767581
164	0.3861564935
165	0.3856496382
166	0.3852894593
167	0.3849464831
168	0.3843258674
169	0.3839291299
170	0.3826130892
171	0.382387562
172	0.3819505635
173	0.3809179579
174	0.3804980536
175	0.3803033959
176	0.3798091444
177	0.3795816718
178	0.379306678
179	0.3787518287
180	0.3782168344
181	0.3779271309
182	0.3776337014
183	0.3767463537
184	0.3758147873
185	0.3753512984
186	0.374870683
187	0.3743594835
188	0.3738460241
189	0.3736403954
190	0.3732145572
191	0.3723820413
192	0.3716107679
193	0.3709757482
194	0.3704784372
195	0.3701051948
196	0.3697392867
197	0.3697190537
198	0.369214023
199	0.3688909287
200	0.3687059365
201	0.3682163816
202	0.367637492
203	0.3668508742
204	0.3666272555
205	0.3662593128
206	0.3656413192
207	0.3652004007
208	0.3651583941
209	0.3648020795
210	0.3644348338
211	0.3630811964
212	0.3629718907
213	0.3628462659
214	0.3626462013
215	0.3619949755
216	0.3619161421
217	0.3612618557
218	0.3606270899
219	0.3600428178
220	0.3597290282
221	0.3592462121
222	0.3589740963
223	0.3583734904
224	0.3579648392
225	0.3576925863
226	0.3573861131
227	0.3569289229
228	0.3567576835
229	0.3563676347
230	0.3554382537
231	0.3549923884
232	0.3545076301
233	0.3538858144
234	0.3538420863
235	0.353601769
236	0.3532447932
237	0.3527551606
238	0.3521665447
239	0.3517962981
240	0.3514653382
241	0.3509413803
242	0.3505798296
243	0.3503966369
244	0.3499295143
245	0.349580479
246	0.3493526426
247	0.3485157839
248	0.347762688
249	0.3470884122
250	0.3469405804
251	0.3466620619
252	0.3464163973
253	0.3461684232
254	0.3460758727
255	0.3455800986
256	0.3450629522
257	0.3445619974
258	0.3438794411
259	0.3435004314
260	0.3426986806
261	0.3418823881
262	0.3417609621
263	0.3413548543
264	0.3408238049
265	0.3403865814
266	0.3400479194
267	0.3394800594
268	0.3391005382
269	0.3383462602
270	0.3381704671
271	0.3378441694
272	0.33749035
273	0.3371212197
274	0.3368442403
275	0.3361171931
276	0.3352465109
277	0.3350014359
278	0.3343588724
279	0.3338201963
280	0.3336249375
281	0.3332049507
282	0.3320062939
283	0.3318760511
284	0.3312971335
285	0.3309571825
286	0.330808155
287	0.3305980446
288	0.3303327998
289	0.3299408741
290	0.3294618412
291	0.3291693989
292	0.3289252935
